Observation Season / Saison d'observation;IAU code;Latin name / Nom latin ;French name / Nom français ;English name / Nom en anglais;Constellation area in square degrees / Étendue de la constellation en degrés carrés;Dec (Declinaison);RA (Right Ascension / Ascension droite);Principal star / Étoile principale;Constellation area in % of the celestial sphere / Étendue de la constellation en % de la sphère céleste;Constellation zone (celestial equator) / Zone de la constellation (équateur céleste);Constellation zone (ecliptic) / Zone de la constellation (écliptique);Constellation zone (Milky Way) / Zone de la constellation (Voie Lactée);Quad;Name origin / Origine de l'apellation;Image
Summer / Hiver;Oph;Ophiuchus;Ophiuchus;Serpent Holder;948.34;-07° 54,74';19:36,71;Rasalhague;2,30 %;Equatorial constellation;Zodiacal constellation # 10;Milky Way Equator;South Hemisphere Quadrant 3;Ptolémée;https://www.datastro.eu/api/v2/catalog/datasets/88-constellations/files/8262c0622af6c4366e91427ed68e4087
Summer / Été;Sct;Scutum;L’Écu de Sobieski;Shield;109.114;-09° 53,32';15:54,18;α Scuti;0,26 %;South constellation;South ecliptic constellation;Milky Way Equator;South Hemisphere Quadrant 4;Hevelius;https://www.datastro.eu/api/v2/catalog/datasets/88-constellations/files/f996781593f1b398d00d8209f6740fca
Spring / Printemps;Lup;Lupus;Loup;Wolf;333.683;-42° 42,53';07:59,53;α Lupi;0,81 %;South constellation;South ecliptic constellation;Milky Way Equator;South Hemisphere Quadrant 3;Ptolémée;https://www.datastro.eu/api/v2/catalog/datasets/88-constellations/files/56deba2864a8b558790b3f5c3f2950b5
Southern hemisphere constellation / Constellation de l'hémisphère sud;Hor;Horologium;Horloge;Clock;248.885;-53° 20,18';03:16,56;α Horologii;0,60 %;South constellation;South ecliptic constellation;;South Hemisphere Quadrant 1;Lacaille;https://www.datastro.eu/api/v2/catalog/datasets/88-constellations/files/c65e87d5f6bc7a0c2d76b3ce7c8ed15f
Southern hemisphere constellation / Constellation de l'hémisphère sud;Men;Mensa;Table;Mesa;153.484;-77° 30,24';20:57,88;α Mensae;0,37 %;South constellation;South ecliptic constellation;;South Hemisphere Quadrant 1;Lacaille;https://www.datastro.eu/api/v2/catalog/datasets/88-constellations/files/039a6d2336404ff2acad9fd3bf616dd3
Southern hemisphere constellation / Constellation de l'hémisphère sud;Ind;Indus;Indien;Indian;294.006;-59° 42,40';21:58,33;α Indi;0,71 %;South constellation;South ecliptic constellation;;South Hemisphere Quadrant 4;Bayer;https://www.datastro.eu/api/v2/catalog/datasets/88-constellations/files/095c8319327de753f6d191020e64df97
Southern hemisphere constellation / Constellation de l'hémisphère sud;Mus;Musca;Mouche;Fly;138.355;-70° 09,66';16:08,65;α Muscae;0,34 %;South constellation;South ecliptic constellation;;South Hemisphere Quadrant 3;Bayer;https://www.datastro.eu/api/v2/catalog/datasets/88-constellations/files/7c0b20a3ea1d0568b801be421dfb66dc
Autumn / Automne;Psc;Pisces;Les Poissons;Fishes;889.417;+13° 41,23';15:00,00;Alpherg;2,16 %;Equatorial constellation;Zodiacal constellation # 1;;North Hemisphere Quadrant 1;Ptolémée;https://www.datastro.eu/api/v2/catalog/datasets/88-constellations/files/82837d969439f8ab765a83fb56706020
Autumn / Automne;Peg;Pegasus;Pégase;Winged Horse;1120.794;+19° 27,98';03:10,50;Enif;2,72 %;North constellation;North ecliptic constellation;;North Hemisphere Quadrant 4;Ptolémée;https://www.datastro.eu/api/v2/catalog/datasets/88-constellations/files/88d13c5a401bc4e4e54f6d328123d011
Winter / Automne;Lep;Lepus;Lièvre;Hare;290.291;-19° 02,78';05:33,95;Arneb;0,70 %;South constellation;South ecliptic constellation;;South Hemisphere Quadrant 1;Ptolémée;https://www.datastro.eu/api/v2/catalog/datasets/88-constellations/files/55f42de990043d925754af4a7c3b832e
Summer / Été;Sgr;Sagittarius;Sagittaire;Archer;867.432;-28° 28,61';00:26,28;Kaus Australis;2,10 %;South constellation;Zodiacal constellation # 11;Milky Way Equator;South Hemisphere Quadrant 4;Ptolémée;https://www.datastro.eu/api/v2/catalog/datasets/88-constellations/files/068588538a8a97986f0d68e8b72dc4e2
Southern hemisphere constellation / Constellation de l'hémisphère sud;Vol;Volans;Poisson volant;Flying Fish;141.354;-69° 48,07';13:24,39;β Volantis;0,34 %;South constellation;South ecliptic constellation;;South Hemisphere Quadrant 2;Bayer;https://www.datastro.eu/api/v2/catalog/datasets/88-constellations/files/67827a58943028476609e12f7be801a2
Southern hemisphere constellation / Constellation de l'hémisphère sud;Tel;Telescopium;Télescope;Telescope;251.512;-65° 49,80';10:16,29;α Telescopii;0,61 %;South constellation;South ecliptic constellation;;South Hemisphere Quadrant 4;Lacaille;https://www.datastro.eu/api/v2/catalog/datasets/88-constellations/files/d0896f553008acf02db135f26d7a6ab5
Southern hemisphere constellation / Constellation de l'hémisphère sud;Tuc;Tucana;Toucan;Toucan;294.557;+31° 28,56';23:46,64;α Tucanae;0,71 %;South constellation;South ecliptic constellation;;North Hemisphere Quadrant 1;Bayer;https://www.datastro.eu/api/v2/catalog/datasets/88-constellations/files/8193c9f5d34a5cba6a50fecf2a249398
Spring / Printemps;UMi;Ursa Minor;Petite Ourse;Little Bear;255.864;+77° 41,99';16:04,95;Polaris;0,62 %;North constellation - North Celestial pole;North ecliptic constellation;;North Hemisphere Quadrant 3;Ptolémée;https://www.datastro.eu/api/v2/catalog/datasets/88-constellations/files/38d41321922e543ddb915dcf7c8798d1
Spring / Printemps;UMa;Ursa Major;Grande Ourse;Big Bear;1279.66;+50° 43,27';02:11,07;Alioth;3,10 %;North constellation;North ecliptic constellation;;North Hemisphere Quadrant 2;Ptolémée;https://www.datastro.eu/api/v2/catalog/datasets/88-constellations/files/709a5c93e41d20fbb9e382a321cdd6b1
Autumn / Automne;Tri;Triangulum;Triangle;Triangle;131.847;+32° 23,28';04:42,13;β Trianguli;0,32 %;North constellation;North ecliptic constellation;;South Hemisphere Quadrant 3;Ptolémée;https://www.datastro.eu/api/v2/catalog/datasets/88-constellations/files/9873a1404e249c2ceef3e76363db0833
Spring / Printemps;Ser;Serpens;Serpent;Serpens;636.928;+06° 07,32';03:55,27;Unukalhai;1,54 %;Equatorial constellation;North ecliptic constellation;;North Hemisphere Quadrant 3;Ptolémée;https://www.datastro.eu/api/v2/catalog/datasets/88-constellations/files/d64a001d28bee98794ed2e37484dc636
Summer / Été;Vul;Vulpecula;Petit Renard;Little Fox;268.165;+24° 26,56';09:34,64;Anser;0,65 %;North constellation;North ecliptic constellation;;North Hemisphere Quadrant 4;Hevelius;https://www.datastro.eu/api/v2/catalog/datasets/88-constellations/files/cb7cdc06663e18b7ac9a30fbd5e357c6
Winter / Hiver;Gem;Gemini;Les Gémeaux;Twins;513.761;+22° 36,01';11:18,76;Pollux;1,25 %;North constellation;Zodiacal constellation # 4;Milky Way Equator;North Hemisphere Quadrant 2;Ptolémée;https://www.datastro.eu/api/v2/catalog/datasets/88-constellations/files/68305ffebef494c6eca29ad75c8c365a
Southern hemisphere constellation / Constellation de l'hémisphère sud;Dor;Dorado;Dorade;Gold Fish;179.173;-59° 23,22';19:39,05;α Doradus;0,43 %;South constellation;South ecliptic pole;;South Hemisphere Quadrant 1;Bayer;https://www.datastro.eu/api/v2/catalog/datasets/88-constellations/files/252570bcb05cd256010049c31b36e16f
Southern hemisphere constellation / Constellation de l'hémisphère sud;Cae;Caelum;Burin;Chisel;124.865;-37° 52,90';10:41,53;α Caeli;0,30 %;South constellation;South ecliptic constellation;;South Hemisphere Quadrant 1;Lacaille;https://www.datastro.eu/api/v2/catalog/datasets/88-constellations/files/a15c759dea4c7b253cd502d3e6722486
Southern hemisphere constellation / Constellation de l'hémisphère sud;Col;Columba;Colombe;Dove;270.184;-35° 05,67';11:23,75;Phact;0,65 %;South constellation;South ecliptic constellation;;South Hemisphere Quadrant 1;Plancius;https://www.datastro.eu/api/v2/catalog/datasets/88-constellations/files/a06c4f91e3e0bd0cdd72fd9abd0a7f38
Southern hemisphere constellation / Constellation de l'hémisphère sud;Gru;Grus;Grue;Crane;365.513;-46° 21,11';22:27,39;Alnair;0,89 %;South constellation;South ecliptic constellation;;South Hemisphere Quadrant 4;Bayer;https://www.datastro.eu/api/v2/catalog/datasets/88-constellations/files/78e12ff70d6d489a871f6caf0d2c79bb
Winter / Hiver;CMi;Canis Minor;Petit Chien;Little Dog;183.367;+06° 25,63';14:34,54;Procyon;0,44 %;Equatorial constellation;South ecliptic constellation;;North Hemisphere Quadrant 2;Ptolémée;https://www.datastro.eu/api/v2/catalog/datasets/88-constellations/files/7f5cd65acd0f070c14555b0dfe2c2cc7
Summer / Été;Equ;Equuleus;Petit Cheval;Little Horse;71.641;+07° 45,49';07:04,24;Kitalpha;0,17 %;North constellation;North ecliptic constellation;;North Hemisphere Quadrant 4;Ptolémée;https://www.datastro.eu/api/v2/catalog/datasets/88-constellations/files/937ee121db9d1b0b3ded9c2c55703140
Autumn / Automne;Eri;Eridanus;Éridan;Eridanus;1137.919;-28° 45,37';08:51,37;Achernar;2,76 %;Equatorial constellation;South ecliptic constellation;;South Hemisphere Quadrant 1;Ptolémée;https://www.datastro.eu/api/v2/catalog/datasets/88-constellations/files/2a3b6d9bae58eac791e5b4c92e73933d
Spring / Printemps;Her;Hercules;Hercule;Hercules;1225.148;+27° 29,93';17:23,16;Kornephoros;2,97 %;North constellation;North ecliptic constellation;;North Hemisphere Quadrant 3;Ptolémée;https://www.datastro.eu/api/v2/catalog/datasets/88-constellations/files/8aa1493b7060bc1797edba3d54f4b7f5
Winter / Hiver;CMa;Canis Major;Grand Chien;Great Dog;380.118;-22° 08,42';05:51,76;Sirius;0,92 %;South constellation;South ecliptic constellation;Milky Way Equator;South Hemisphere Quadrant 2;Ptolémée;https://www.datastro.eu/api/v2/catalog/datasets/88-constellations/files/b4b8120443712315163dac454abd2e7c
Winter / Hiver;Aur;Auriga;Cocher;Charioteer;657.438;+42° 01,68';14:42,64;Capella;1,59 %;North constellation;North ecliptic constellation;Milky Way Equator;North Hemisphere Quadrant 2;Ptolémée;https://www.datastro.eu/api/v2/catalog/datasets/88-constellations/files/653d6da1b0f4937a87fa827d3571d543
Summer / Été;Aql;Aquila;L’Aigle;Eagle;652.473;+03° 24,65';15:11,96;Altair;1,58 %;Equatorial constellation;North ecliptic constellation;Milky Way Equator;North Hemisphere Quadrant 4;Ptolémée;https://www.datastro.eu/api/v2/catalog/datasets/88-constellations/files/59a4165986ab5227b935c875cacc4897
Summer / Été;Cep;Cepheus;Céphée;Cepheus;587.787;+71° 00,51';22:00,00;Alderamin;1,42 %;North constellation;North ecliptic constellation;Milky Way Equator;North Hemisphere Quadrant 4;Ptolémée;https://www.datastro.eu/api/v2/catalog/datasets/88-constellations/files/07d7fbf4fd343ccd8d2c6e20d4a5769f
Southern hemisphere constellation / Constellation de l'hémisphère sud;Cir;Circinus;Compas;Compass;93.353;-63° 01,82';06:04,42;α Circini;0,23 %;South constellation;South ecliptic constellation;;South Hemisphere Quadrant 3;Lacaille;https://www.datastro.eu/api/v2/catalog/datasets/88-constellations/files/f123cfcaba60126784a418b3ea5b7d66
