Abell;Other;Type;RA;Dec;Mag;MajAx;MinAx;Const;Mag1;Cstar V-Mag
1;PK119+6.1;2b;00 12 54.6;+69 10 23;18.7;46;42;Cep;18;20.5
2;PK122-4.1;2c;00 45 34.8;+57 57 35;14.5;33;29;Cas;14.1;20
3;PK131+2.1;3b;02 12 06.6;+64 09 03;16;60;60;Cas;18.2;18.8
4;PK144-15.1;3b;02 45 23.8;+42 33 03;14.8;22;22;Per;14.4;19.9
5;PK141-7.1;4;02 52 14.8;+50 35 54;16.0p;134;121;Per;16;21.4
6;PK136+4.1;2b;02 58 42.0;+64 30 07;15;188;174;Cas;14.3;19.6
7;PK215-30.1;3a;05 03 07.5;-15 36 23;13.2p;871;670;Lep;13.2;15.4
8;PK167-0.1;2b;05 06 38.4;+39 08 09;17.6;62;62;Aur;16.6;20.2
9;PK172+0.1;4;05 28 56.6;+36 03 11;18.9p;40;34;Aur;18.9;20
10;PK197-14.1;3;05 31 45.8;+06 55 57;14;35;32;Ori;14.7;20.2
11;;;05 37 22.1;+08 15 37;;;;Ori;na;na
12;PK198-6.1;;06 02 20.0;+09 39 15;12.4;37;37;Ori;12;19.7
13;PK204-8.1;4;06 04 47.8;+03 56 36;15.3;174;134;Ori;15.3;19.8
14;PK197-3.1;2c;06 11 08.7;+11 46 45;17.5p;40;27;Ori;17.5;15.2
15;PK233-16.1;4;06 27 02.0;-25 22 50;15.8;34;34;CMa;15.6;16.1
16;PK153+22.1;2b;06 43 54.9;+61 47 25;15.4;143;133;Lyn;14.5;17.4
17;platefault;;06 48 38.1;-09 32 43;;;;;18.5;19.9
18;PK216-0.1;2b;06 56 14.5;-02 53 09;17;71;66;Mon;17.5p;20.9
19;PK200+8.1;2b;06 59 57.0;+14 36 35;16.3;80;67;Gem;16.8;na
20;PK214+7.1;2c;07 22 57.6;+01 45 34;14;65;65;CMi;14.3;16.5
21;PK205+14.1;;07 29 04.5;+13 14 55;10.2;744;509;Gem;10.3;15.9
22;PK215+11.1;3;07 36 08.2;+02 42 24;15.4p;105;68;CMi;15.4p;19.5
23;PK249-5.1;;07 43 18.0;-34 45 12;13.1;54;54;Pup;13.1;na
24;PK217+14.1;4(3);07 51 39.3;+03 00 29;13.9;265;180;CMi;13.5;17.1
25;PK224+15.1;3b;08 06 46.0;-02 52 42;15.4p;150;145;Mon;15.4p;18.9
26;PK250+0.1;2;08 09 01.6;-32 40 25;18.1p;40;40;Pup;18.1p;na
27;PK252+4.1;3b;08 31 52.5;-32 06 10;15.6;47;40;Pyx;18;13.9
28;PK158+37.1;2b;08 41 35.5;+58 13 49;13.5;268;268;UMa;13.5;17.4
29;PK244+12.1;4;08 40 17.0;-20 54 14;14.3p;482;335;Pyx;14.3p;18.3
30;PK208+33.1;2c;08 46 53.6;+17 52 44;13;127;127;Cnc;15.6;14.3
31;PK219+31.1;3a;08 54 13.2;+08 53 59;12;970;930;Cnc;12;15.5
32;platefault;;09 16 21.6;+03 53 04;;;;;na;na
33;PK238+34.1;2b;09 39 09.1;-02 48 32;12.9;275;260;Hya;12.6;15.5
34;PK248+29.1;2b;09 45 35.0;-13 10 10;12.9;281;268;Hya;12.9;16.3
35;PK303+40.1;3a;12 53 41.4;-22 51 42;13.3;938;636;Hya;12.7;9.6
36;PK318+41.1;3a/b;13 40 41.3;-19 52 57;11.8;478;281;Vir;11.8;11.5
37;IC972;2c;14 04 25.9;-17 13 40;13.6;43;40;Vir;13.9;17.9
38;PK346+12.1;4(2);16 23 18.7;-31 44 58;15.5;154;94;Sco;15.5;20.5
39;PK47+42.1;2c;16 27 33.8;+27 54 33;12.9;170;170;Her;13;15.6
40;PK359+15.1;2b;16 48 34.5;-21 00 51;17.8;30;27;Oph;16.8p;19.7
41;PK9+10.1;3(2);17 29 02.2;-15 13 07;15.6;16;7;Ser;17.2p;16.5
42;PK16+13.1;2b;17 31 29.2;-08 19 09;16.5p;60;57;Oph;16.5;20.3
43;PK36+17.1;2c;17 53 32.2;+10 37 25;14.7;80;74;Oph;14.6;14.7
44;PK15-3.1;2;18 30 11.3;-16 45 24;15.8;63;39;Sgr;15.4;na
45;PK20-0.1;3b;18 30 16.1;-11 36 56;12.8;302;281;Sct;12.8;21.1
46;PK55+16.1;3b/2;18 31 18.6;+26 56 11;13.8;63;60;Lyr;14.3;14.9
47;PK30+3.1;4;18 35 22.6;+00 13 50;19.5;17;15;Ser;19.5;21
48;PK29+0.1;4;18 42 46.9;-03 13 17;17.2;43;37;Aql;17.2;na
49;PK27-3.1;2c;18 53 28.6;-06 28 35;16.2;35;33;Sct;16.1;21
50;NGC6742;2c;18 59 19.9;+48 27 53;13.4;31;30;Dra;13.4;20
51;PK17-10.1;4;19 01 01.4;-18 12 14;14;64;58;Sgr;15;15.4
52;PK50+5.1;3b;19 04 32.4;+17 57 08;16.5p;37;34;Aql;16.5p;18.4
53;PK40-0.1;4;19 06 46.1;+06 23 50;16.3;30;27;Aql;15.5;20.9
54;PK55+6.1;2b;19 08 39.6;+22 58 59;16.8;67;47;Vul;17.1p;na
55;PK33-5.1;3;19 10 25.8;-02 20 25;13.2;47;32;Aql;15.4p;20.5
56;PK37-3.2;4;19 13 06.6;+02 52 49;14.1p;188;174;Aql;14.1;19.7
57;PK58+6.1;3b;19 17 05.9;+25 37 33;14.4;40;34;Vul;14.7;17.6
58;PK37-5.1;;19 18 20.8;+01 46 53;17.4p;44;37;Aql;17.4;19.4
59;PK53+3.1;3b;19 18 40.1;+19 34 26;16.4;94;80;Sge;16.8;21.1
60;PK25-11.1;2b;19 19 17.8;-12 14 42;16.2;88;77;Sgr;15.5;18.5
61;PK77+14.1;2b;19 19 10.3;+46 14 51;13.5;201;201;Cyg;13.5;17.3
62;PK47-4.1;2c;19 33 18.3;+10 37 04;14.7;161;151;Aql;14.8;18.8
63;PK53-3.1;2;19 42 10.4;+17 05 11;16.9;40;27;Sge;15.9;14.6
64;PK44-9.1;3;19 45 35.1;-05 34 02;15.3p;40;34;Aql;15.3;18.1
65;PK17-21.1;2a;19 46 34.3;-23 08 14;13.8;134;34;Sgr;13.2;15.9
66;PK19-23.1;3b;19 57 31.8;-21 36 37;14.9p;295;241;Sgr;14.9p;17.3
67;PK43-13.1;2b;19 58 27.0;+03 03 00;13.6;69;61;Aql;15.3;19.3
68;PK60-4.1;3;20 00 10.5;+21 42 54;15.2;40;37;Vul;15.2;13.2
69;PK76+1.1;4;20 19 58.4;+38 23 59;20.2;25;22;Cyg;18.7;21
70;PK38-25.1;4;20 31 33.2;-07 05 18;14.7;45;40;Aql;14.5;19.1
71;PK85+4.1;3b;20 32 23.4;+47 20 55;14.5;165;150;Cyg;14;18.9
72;PK59-18.1;3b;20 50 02.1;+13 33 29;12.7;134;121;Del;13.8;16.1
73;PK95+7.1;4;20 56 26.7;+57 26 00;17;80;66;Cep;16.5;21.1
74;PK72-17.1;2;21 16 52.3;+24 08 52;15.8;871;791;Vul;12.2;17.1
75;NGC7076;3b;21 26 23.5;+62 53 33;14.5;67;47;Cep;13.5;18
76;galaxy;;21 30 03.5;-02 47 06;;;;;15.6p;na
77;PK97+3.1;3/3a;21 32 10.3;+55 52 42;14;67;50;Cep;15;15.7
78;PK81-14.1;4;21 35 29.5;+31 41 44;13.4;113;88;Cyg;13.4;13.2
79;PK102-2.1;4(3);22 26 17.3;+54 49 40;15.3;59;49;Lac;15;18.7
80;PK102-5.1;4;22 34 45.5;+52 26 12;16;161;114;Lac;16;19.6
81;IC1454;4;22 42 25.3;+80 26 28;13.8;34;31;Cep;14;18.8
82;PK114-4.1;3b;23 45 47.5;+57 03 56;12.7;94;94;Cas;12.7;14.9
83;PK113-6.1;2c;23 46 46.9;+54 44 38;15.5;42;37;Cas;17.6;21
84;PK112-10.1;3b;23 47 43.9;+51 23 56;13;147;114;Cas;13;18.4
85;CTB1;;23 58 53.5;+62 30 28;26;SNR;;;na;na
86;PK118+8.2;2c;00 01 30.9;+70 42 30;16.7;70;70;Cep;16.7;20
