1   00 26.1 +25.7 14.4 UGC 248               3/4
2   00 31.4 +08.4 13.4 UGC 312               4/4
3   00 34.2 -07.6 14.7 M-1-2-32(H3C)         4/4
4   00 34.2 -21.4 13.5 ESO 540-1             4/5
5   00 38.9 +07.1 14.6 NGC 190               2/4
6   00 39.2 -08.4 15.3 PGC 2353              3/4
7   00 39.3 +00.9 12.6 NGC 192               4/4
8   00 49.6 +23.6 14.5 MCG+4-3-8             4/4
9   00 54.3 -23.5 14.9 MCG-4-3-28            2/4
10  01 26.4 +34.7 12.6 NGC 536               4/4
11  01 26.6 -23.2 13.0 ESO 476-8             2/4
12  01 27.6 -04.7 14.8 MCG-1-4-52            1/5
13  01 32.3 -07.9 14.6 MCG-1-5-2             2/5
14  01 59.8 -07.1 14.2 MCG-1-6-20            2/4
15  02 07.9 +02.2 14.3 UGC 1624              6/6
16  02 09.4 -10.1 12.8 NGC 835;ARP 318       4/4
17  02 14.1 +13.3 16.5 PGC 8561              0/5
18  02 39.2 +18.4 14.9 ARP 258; UGC 2140     4/4
19  02 42.6 -12.4 14.0 MCG-2-7-73            3/4
20  02 44.2 +26.1 16.7 PGC 10364             0/6
21  02 45.4 -17.7 13.9 NGC 1099              5/5
22  03 03.6 -15.6 12.2 NGC 1199              5/5
23  03 06.9 -09.6 14.3 NGC 1214              3/5
24  03 20.3 -10.9 14.9 MCG-2-9-31            2/5
25  03 20.8 -01.1 13.9 UGC 2690              5/7
26  03 21.9 -13.7 15.6 MCG-2-9-35            2/7
27  04 19.4 -11.7 15.7 PGC 14873             1/6
28  04 27.3 -10.3 15.3 PGC 15136             3/4
29  04 34.7 -30.5 14.5 PGC 15559             1/4
30  04 36.3 -02.8 12.9 MCG+0-12-51           4/4
31  05 01.6 -04.3 12.5 NGC 1741              3/4
32  05 01.8 -15.4 13.8 MCG-3-13-53           2/4
33  05 10.8 +18.0 15.4 CGCG 469-2            2/4
34  05 21.8 +06.7 14.2 NGC 1875; ARP 327     1/4
35  08 45.4 +44.5 15.1 PGC 24601             3/6
36  09 09.4 +15.8 14.5 IC 528                2/4
37  09 13.7 +30.0 13.0 NGC 2783              4/5
38  09 27.6 +12.3 14.8 ARP 237; MCG+2-24-12  3/4
39  09 29.5 -01.3 16.6 UGC 5057              0/4
40  09 38.9 -04.8 13.4 ARP 321; MCG-1-25-9   4/5
41  09 57.7 +45.2 13.9 UGC 5345              3/4
42  10 00.2 -19.6 11.7 NGC 3091              4/4
43  10 11.3 -00.0 15.1 CGCG 8-62             3/6
44  10 18.1 +21.8 11.5 NGC 3190; ARP 316     4/4
45  10 19.2 +59.1 15.2 UGC 5564              1/4
46  10 22.1 +17.8 16.1 MCG+3-27-5            0/4
47  10 25.8 +13.7 14.6 UGC 5644              2/4
48  10 37.8 -27.1 13.2 IC 2597               3/4
49  10 56.7 +67.2 15.9 CGCG 314-1A           1/4
50  11 17.1 +54.9 18.4 PGC 34447             0/5
51  11 22.4 +24.3 13.9 NGC 3651              7/7
52  11 26.3 +21.1 14.9 MCG+4-27-36           3/4
53  11 28.8 +20.8 12.9 NGC 3697; ROSE 27     3/4
54  11 29.3 +20.6 13.9 IC 700                1/4
55  11 32.1 +70.8 15.4 ARP 329; UGC 6514     1/5
56  11 32.8 +52.9 14.5 ARP 322; MCG+9-19-113 3/5
57  11 37.9 +22.0 14.0 COPELAND'S SEPTET     7/8
58  11 42.2 +10.3 13.6 NGC 3822              5/5
59  11 48.5 +12.7 14.4 IC 736; ROSE 7        4/5
60  12 03.1 +51.7 15.0 MCG+9-20-71           1/4
61  12 12.3 +29.2 12.6 THE BOX; NGC 4169     4/4
62  12 53.1  -9.2 13.4 NGC 4759              4/4
63  13 02.3 -32.8 13.3 ESO 443-37            3/4
64  13 25.8 -03.9 14.7 PGC 46975             3/4
65  13 29.9 -29.5 13.7 ESO 444-55            5/5
66  13 38.6 +57.3 15.4 MCG+10-19-104         1/4
67  13 49.2 -07.2 12.7 NGC 5306              4/4
68  13 53.4 +40.3 11.8 NGC 5353              5/5
69  13 55.2 +25.1 14.9 UGC 8842              3/4
70  14 04.2 +33.3 14.5 IC 4371               5/7
71  14 11.0 +25.5 13.8 IC 4381               3/4
72  14 47.9 +19.1 13.9 ARP 328; MCG+3-38-17  4/6
73  15 02.7 +23.3 13.3 NGC 5829; ARP 42      1/5
74  15 19.4 +20.9 14.1 NGC 5910              2/5
75  15 21.6 +21.2 14.9 CGCG 135-50           4/6
76  15 31.8 +07.3 14.4 NGC 5944              4/7
77  15 49.3 +21.8 15.2 UGC 10049             3/4
78  15 48.2 +68.2 14.4 UGC 10057             2/4
79  15 59.2 +20.8 13.8 SEYFERT'S SEXTET      5/5
80  15 59.3 +65.2 14.8 CGCG 319-38           3/4
81  16 18.2 +12.8 16.3 UGC 10319             0/4
82  16 28.4 +32.9 14.1 NGC 6162              4/4
83  16 35.6 +06.3 16.0 PGC 58559             0/5
84  16 44.4 +77.8 14.7 CGCG 355-20A          2/6
85  18 50.5 +73.3 15.1 CGCG 341-10           2/4
86  19 52.0 -30.8 13.7 ESO 461-7             4/4
87  20 48.2 -19.8 14.0 ESO 597-36            3/4
88  20 52.6 -05.7 13.2 NGC 6978              4/4
89  21 20.0 -03.9 14.1 MCG-1-54-12           3/4
90  22 02.0 -31.9 12.4 NGC 7172              4/4
91  22 09.1 -27.8 12.6 NGC 7214              4/4
92  22 36.1 +34.0 12.5 STEPHAN'S QUINTET     5/5
93  23 15.3 +19.0 12.6 NGC 7550; ARP 99      5/5
94  23 17.2 +18.7 13.9 NGC 7578; ARP 170     4/7
95  23 19.5 +09.5 14.4 NGC 7609; ARP 150     3/4
96  23 28.0 +08.8 13.5 NGC 7674; ARP 182     3/4
