NAME;Constellation;RA;DEC;SIZE;Brightness;Shape;RA Hour;RA Minutes;DEC Degree;DEC Minutes
SH2-1;Scorpius;15.980889;-26.120556;150;Bright;Irregular;15;59;-26;7
SH2-2;Scorpius;17.0685;-38.1425;60;Midrange;Irregular;17;4;-38;9
SH2-3;Scorpius;17.229167;-38.503056;12;Bright;Elliptical;17;14;-38;30
SH2-4;Scorpius;17.330222;-39.338889;5;Bright;Elliptical;17;20;-39;20
SH2-5;Scorpius;17.334306;-38.454722;100;Midrange;Irregular;17;20;-38;27
SH2-6;Scorpius;17.251139;-37.116667;4;Bright;Irregular;17;15;-37;7
SH2-7;Scorpius;16.0055;-22.950556;240;Faint;Irregular;16;0;-22;57
SH2-8;Scorpius;17.356889;-36.034722;120;Bright;Irregular;17;21;-36;2
SH2-9;Scorpius;16.353028;-25.589444;80;Midrange;Irregular;16;21;-25;35
SH2-10;Scorpius;17.316667;-34.090278;60;Midrange;Irregular;17;19;-34;5
SH2-11;Scorpius;17.441944;-34.205556;90;Bright;Irregular;17;27;-34;12
SH2-12;Scorpius;17.598944;-32.599722;120;Midrange;Circular;17;36;-32;36
SH2-13;Scorpius;17.507944;-31.562778;40;Midrange;Elliptical;17;30;-31;34
SH2-14;Scorpius;17.505139;-30.263056;2;Midrange;Irregular;17;30;-30;16
SH2-15;Scorpius;17.842889;-31.264167;30;Midrange;Elliptical;17;51;-31;16
SH2-16;Sagittarius;17.797833;-29.303889;20;Midrange;Irregular;17;48;-29;18
SH2-17;Sagittarius;17.769111;-28.858056;25;Midrange;Irregular;17;46;-28;51
SH2-18;Sagittarius;17.812806;-29.251667;4;Midrange;Circular;17;49;-29;15
SH2-19;Sagittarius;17.822694;-29.116944;12;Midrange;Circular;17;49;-29;7
SH2-20;Sagittarius;17.820639;-28.667222;10;Midrange;Irregular;17;49;-28;40
SH2-21;Sagittarius;17.860833;-28.894722;5;Midrange;Irregular;17;52;-28;54
SH2-22;Sagittarius;17.917722;-25.036111;60;Midrange;Irregular;17;55;-25;2
SH2-23;Scorpius;16.2235;-8.372222;50;Faint;Irregular;16;13;-8;22
SH2-24;Ophiuchus;16.184389;-7.077222;30;Midrange;Elliptical;16;11;-7;5
SH2-25;Sagittarius;18.090556;-24.394167;90;Bright;Irregular;18;5;-24;24
SH2-26;Sagittarius;17.983056;-23.326389;20;Faint;Irregular;17;59;-23;20
SH2-27;Ophiuchus;16.620111;-10.569722;480;Midrange;Irregular;16;37;-10;34
SH2-28;Sagittarius;18.044944;-23.584167;40;Faint;Circular;18;3;-23;35
SH2-29;Sagittarius;18.17525;-23.998611;40;Midrange;Irregular;18;11;-23;60
SH2-30;Sagittarius;18.0595;-23.015278;20;Bright;Irregular;18;4;-23;1
SH2-31;Sagittarius;18.188417;-23.796667;8;Midrange;Circular;18;11;-23;48
SH2-32;Sagittarius;18.181639;-23.6475;8;Midrange;Circular;18;11;-23;39
SH2-33;Serpens;15.997889;-1.6175;35;Faint;Irregular;15;60;-1;37
SH2-34;Sagittarius;18.106806;-21.658333;90;Midrange;Irregular;18;6;-21;39
SH2-35;Sagittarius;18.264083;-20.251944;20;Midrange;Irregular;18;16;-20;15
SH2-36;Serpens;16.09175;0.394444;45;Faint;Circular;16;6;0;24
SH2-37;Sagittarius;18.295306;-19.664167;20;Midrange;Irregular;18;18;-19;40
SH2-38;Sagittarius;18.145972;-18.269167;3;Faint;Irregular;18;9;-18;16
SH2-39;Sagittarius;18.279583;-18.649722;3;Midrange;Irregular;18;17;-18;39
SH2-40;Sagittarius;18.200611;-17.744444;15;Midrange;Irregular;18;12;-17;45
SH2-41;Sagittarius;18.264278;-18.235278;90;Midrange;Irregular;18;16;-18;14
SH2-42;Sagittarius;18.171611;-16.815278;3;Midrange;Irregular;18;10;-16;49
SH2-43;Sagittarius;18.273694;-17.400556;15;Midrange;Elliptical;18;16;-17;24
SH2-44;Sagittarius;18.274889;-16.733611;60;Midrange;Irregular;18;16;-16;44
SH2-45;Sagittarius;18.346139;-16.173333;60;Bright;Irregular;18;21;-16;10
SH2-46;Serpens;18.103083;-14.158611;25;Midrange;Elliptical;18;6;-14;10
SH2-47;Serpens;18.29575;-15.613889;5;Midrange;Circular;18;18;-15;37
SH2-48;Scutum;18.373361;-14.585833;10;Midrange;Irregular;18;22;-14;35
SH2-49;Serpens;18.311278;-13.961667;90;Bright;Irregular;18;19;-13;58
SH2-50;Scutum;18.425111;-14.711667;35;Midrange;Irregular;18;26;-14;43
SH2-51;Sagittarius;18.679639;-16.558333;35;Faint;Irregular;18;41;-16;33
SH2-52;Sagittarius;19.796333;-23.0875;2;Midrange;Elliptical;19;48;-23;5
SH2-53;Scutum;18.420778;-13.228889;15;Midrange;Irregular;18;25;-13;14
SH2-54;Serpens Cauda;18.298111;-11.73;140;Bright;Irregular;18;18;-11;44
SH2-55;Scutum;18.536417;-11.762222;5;Faint;Irregular;18;32;-11;46
SH2-56;Scutum;18.518389;-9.714722;7;Faint;Circular;18;31;-9;43
SH2-57;Scutum;18.509333;-8.615833;2;Faint;Irregular;18;31;-8;37
SH2-58;Scutum;18.524222;-8.463611;8;Midrange;Irregular;18;31;-8;28
SH2-59;Scutum;18.617;-7.600278;20;Faint;Irregular;18;37;-7;36
SH2-60;Scutum;18.611389;-6.701111;20;Midrange;Irregular;18;37;-6;42
SH2-61;Scutum;18.548639;-5.01;2;Bright;Irregular;18;33;-5;1
SH2-62;Serpens;18.459556;-3.856111;4;Faint;Irregular;18;28;-3;51
SH2-63;Sagittarius;19.962;-14.115556;55;Faint;Irregular;19;58;-14;7
SH2-64;Serpens;18.526639;-1.913056;25;Midrange;Irregular;18;32;-1;55
SH2-65;Aquila;18.782806;-3.743056;7;Midrange;Irregular;18;47;-3;45
SH2-66;Aquila;18.758361;-1.996389;8;Midrange;Irregular;18;46;-1;60
SH2-67;Aquila;18.823583;-2.353611;10;Faint;Elliptical;18;49;-2;21
SH2-68;Serpens;18.419861;0.855;8;Midrange;Irregular;18;25;0;51
SH2-69;Aquila;18.740611;-0.282222;20;Midrange;Elliptical;18;44;0;17
SH2-70;Ophiuchus;18.244139;7.063056;5;Midrange;Irregular;18;15;7;4
SH2-71;Aquila;19.034083;2.159722;3;Bright;Elliptical;19;2;2;10
SH2-72;Aquila;19.064;2.313889;25;Midrange;Irregular;19;4;2;19
SH2-73;Hercules;16.185444;21.873889;75;Faint;Irregular;16;11;21;52
SH2-74;Aquila;19.146944;5.608889;3;Midrange;Irregular;19;9;5;37
SH2-75;Aquila;18.987611;7.12;10;Faint;Circular;18;59;7;7
SH2-76;Aquila;18.940472;7.813333;7;Faint;Circular;18;56;7;49
SH2-77;Aquila;19.804806;1.148056;8;Faint;Elliptical;19;48;1;9
SH2-78;Aquila;19.053083;14.129444;12;Faint;Circular;19;3;14;8
SH2-79;Aquila;19.388444;13.976111;40;Faint;Irregular;19;23;13;59
SH2-80;Sagitta;19.191361;16.865833;2;Bright;Irregular;19;11;16;52
SH2-81;Aquila;20.020417;11.792778;10;Faint;Irregular;20;1;11;48
SH2-82;Sagitta;19.505778;18.275556;9;Midrange;Irregular;19;30;18;17
SH2-83;Vulpecula;19.408944;20.795833;2;Midrange;Circular;19;25;20;48
SH2-84;Sagitta;19.817778;18.400278;15;Bright;Irregular;19;49;18;24
SH2-85;Lyra;19.054778;25.830278;6;Midrange;Irregular;19;3;25;50
SH2-86;Vulpecula;19.719361;23.2875;40;Midrange;Circular;19;43;23;17
SH2-87;Vulpecula;19.773528;24.628056;10;Faint;Irregular;19;46;24;38
SH2-88;Vulpecula;19.766333;25.343889;25;Midrange;Irregular;19;46;25;21
SH2-89;Vulpecula;19.834;26.486111;5;Faint;Circular;19;50;26;29
SH2-90;Vulpecula;19.820361;26.867778;6;Midrange;Irregular;19;49;26;52
SH2-91;Cygnus;19.592778;29.604444;120;Faint;Irregular;19;36;29;36
SH2-92;Vulpecula;19.777583;28.245556;50;Faint;Circular;19;47;28;15
SH2-93;Vulpecula;19.917;27.213611;1;Bright;Irregular;19;55;27;13
SH2-94;Cygnus;19.464333;31.470556;25;Faint;Irregular;19;28;31;28
SH2-95;Vulpecula;19.917139;29.296944;1;Midrange;Circular;19;55;29;18
SH2-96;Cygnus;19.478361;32.689167;25;Faint;Irregular;19;29;32;41
SH2-97;Cygnus;19.934806;30.265833;10;Faint;Circular;19;56;30;16
SH2-98;Cygnus;19.979028;31.421667;15;Faint;Circular;19;59;31;25
SH2-99;Cygnus;20.014167;33.492778;5;Bright;Irregular;20;1;33;30
SH2-100;Cygnus;20.030889;33.511667;4;Bright;Irregular;20;2;33;31
SH2-101;Cygnus;19.999306;35.291111;20;Midrange;Irregular;19;60;35;17
SH2-102;Cygnus;20.52975;30.605278;40;Faint;Irregular;20;32;30;36
SH2-103;Cygnus;20.842361;30.923333;210;Bright;Irregular;20;51;30;55
SH2-104;Cygnus;20.295861;36.744444;7;Midrange;Circular;20;18;36;45
SH2-105;Cygnus;20.200778;38.349722;18;Bright;Elliptical;20;12;38;21
SH2-106;Cygnus;20.457694;37.396944;3;Bright;Irregular;20;27;37;24
SH2-107;Cygnus;20.713;36.342778;5;Midrange;Elliptical;20;43;36;21
SH2-108;Cygnus;20.376528;40.254167;180;Bright;Irregular;20;23;40;15
SH2-109;Cygnus;20.560694;40.3425;1080;Midrange;Elliptical;20;34;40;21
SH2-110;Cygnus;21.346917;32.457778;50;Faint;Irregular;21;21;32;27
