"Vic#","name_cs","name_en","cons","RA","Dec","10x50","15x70","25x100","Poznámka"
"  1  ","Ramínko","Coathanger","Vul","  19h 26.3m","  + 20° 06′","★★★★★","★★★★★","★★★★★","Ramínko na šaty, Cr399, Brocchi's Cluster, Al Sufi's Cluster"
"  2  ","Kembleova kaskáda","Kemble's Cascade","Cam","  3h 57.4m","  + 63° 04′","★★★★★","★★★★★","★★★★☆","součástí je NGC1502"
"  3  ","Kembleův drak","Kemble's Kite","Cas","  3h 27.1m","  + 71° 51′","★★★☆☆","★★★☆☆","★★★☆☆"," "
"  4  ","Královnin drak","Queen's Kite","Cas","  1h 42.1m","  + 57° 38′","★★★☆☆","★★☆☆☆","★☆☆☆☆"," "
"  5  ","Malá Kasiopeja","Little Queen","Dra","  18h 35.9m","  + 72° 23′","★★★★☆","★★★★☆","★★★★☆","Kemble 2"
"  6  ","Malý Orion","Mini Orion","Cyg","  20h 55.8m","  + 43° 34′","★★★☆☆","★★★☆☆","★★★☆☆","v oblasti NGC7000 (Severní Amerika)"
"  7  ","Malý štír","Mini Scorpion","Hya","  14h 51.0m","  − 26° 09′","★★★☆☆","★★★☆☆","★☆☆☆☆"," "
"  8  ","Malý delfín","Delphinus Minor","Peg","  23h 01.6m","  + 23° 04′","★★★☆☆","★★★☆☆","★★★☆☆"," "
"  9  ","Malé ramínko","Mini Coathanger","UMi","  16h 28.8m","  + 80° 14′","☆☆☆☆☆","★★☆☆☆","★★★☆☆"," "
"  10  ","Severní kříž","Mini Cross","Peg","  0h 10.5m","  + 15° 19′","★☆☆☆☆","★☆☆☆☆","★★☆☆☆"," "
"  11  ","Polární Kuřátka","Seven Sisters of the Pole","Cep","  23h 39.4m","  + 86° 40′","★☆☆☆☆","★☆☆☆☆","☆☆☆☆☆","NGC188 poblíž"
"  12  ","Smajlík","Smiley Face","Aur","  5h 27.6m","  + 34° 58′","★★★★☆","★★★★☆","★★★☆☆","Cheshire Cat, součástí je Stock8"
"  13  ","Vultus Irrisorie","Vultus Irrisorie","Cyg","  19h 54.4m","  + 47° 17′","★★★★☆","★★★★☆","★★★★☆"," "
"  14  ","Strašidýlko","Cookie Monster","Tau","  4h 30.0m","  + 15° 57′","★★★★☆","★★★★☆","★★★★☆","součást Mel25 (Hyády)"
"  15  ","Ježíš na kříži","Jesus Christ Crucified","Cas","  0h 42.5m","  + 52° 02′","★★★★☆","★★★★☆","★★★☆☆"," "
"  16  ","Človíček","ET Cluster","Cas","  1h 19.0m","  + 58° 16′","★☆☆☆☆","★★☆☆☆","★★★★★","Owl Cluster, součást NGC457"
"  17  ","Svalovec","Muscle Man","Cas","  2h 15.6m","  + 59° 23′","★★★★☆","★★★★☆","★★★☆☆","součást Stock2"
"  18  ","Knír","Moustache","Aqr","  21h 02.7m","  + 01° 58′","★★★☆☆","★★★☆☆","★★★☆☆"," "
"  19  ","Sudor Ophiuchi","Sudor Ophiuchi","Her","  17h 01.6m","  + 14° 57′","★★☆☆☆","★★☆☆☆","★☆☆☆☆"," "
"  20  ","Spermie","Spermatozoon","Tau","  5h 41.1m","  + 21° 20′","★☆☆☆☆","★★☆☆☆","★★☆☆☆"," "
"  21  ","Perníkové srdce","Gingerbread Heart","Cyg","  20h 42.4m","  + 35° 27′","★★☆☆☆","★★☆☆☆","★★☆☆☆"," "
"  22  ","Jizva","Rinnan's Run","Sex","  10h 48.0m","  + 02° 38′","★★★☆☆","★★★☆☆","★★★☆☆","The Scar"
"  23  ","Snubní prstýnek","Diamond Ring","UMi","  2h 43.6m","  + 88° 55′","★★★☆☆","★★★☆☆","★★☆☆☆","Polární prstýnek, Diamantový prsten, Engagement Ring"
"  24  ","Zlomený prstýnek","Broken Engagement Ring","UMa","  10h 50.7m","  + 56° 07′","☆☆☆☆☆","★☆☆☆☆","★★★☆☆","The Crown, Koruna, Čelenka"
"  25  ","Rubínový prsten","Ruby Ring","Her","  18h 02.6m","  + 26° 21′","☆☆☆☆☆","☆☆☆☆☆","☆☆☆☆☆","Webb's Wreath"
"  26  ","Podkova","Horseshoe","Cyg","  21h 07.9m","  + 47° 14′","☆☆☆☆☆","☆☆☆☆☆","★★☆☆☆"," "
"  27  ","Golfová hůl","Golf Putter","And","  1h 53.4m","  + 37° 26′","★★★★☆","★★★★☆","★★★☆☆","NGC752 jako míček"
"  28  ","Domácí meta","Home Plate","And","  0h 07.6m","  + 40° 33′","★★★☆☆","★★★☆☆","★★☆☆☆"," "
"  29  ","Rybářský prut","Fishing Rod","Aqr","  21h 09.0m","  − 05° 45′","★★★★☆","★★★☆☆","☆☆☆☆☆"," "
"  30  ","Rybářský háček","Fishing Hook","Sct","  18h 45.5m","  − 06° 44′","★★★★☆","★★★☆☆","☆☆☆☆☆","Button Hook"
"  31  ","Létající ryba","Flying Minnow","Aur","   5h 19.0m","  + 33° 45′","★★★☆☆","★★★☆☆","★★★☆☆","Little Fish, Žebříček"
"  32  ","Žralok","Shark","UMi","  16h 47.7m","  + 77° 49′","★★☆☆☆","★★☆☆☆","★★☆☆☆"," "
"  33  ","Prasátko","Piggy","Ori","  5h 35.1m","  − 04° 25′","★★☆☆☆","★★☆☆☆","★★☆☆☆","součást NGC1981"
"  34  ","Červenokrký emu","Red Necked Emu","Cyg","  20h 14.0m","  + 36° 24′","★☆☆☆☆","★★☆☆☆","★★☆☆☆"," "
"  35  ","Orel a králík","Eagle and Rabbit","Cep","  21h 51.9m","  + 62° 47′","★☆☆☆☆","★☆☆☆☆","★★☆☆☆","součástí je NGC7160"
"  36  ","Klokan","Kangaroo","Boo","  15h 01.5m","  + 33° 03′","☆☆☆☆☆","★★★☆☆","★★★★★"," "
"  37  ","Píďalka","Inchworm","Lyn","  9h 06.5m","  + 38° 27′","★★★☆☆","★★★☆☆","★★☆☆☆"," "
"  38  ","Motýl","Butterfly","Sco","  17h 40.2m","  − 32° 15′","★★☆☆☆","★★★☆☆","★★★☆☆","součást M6"
"  39  ","Maggiin motýl","Maggie's Butterfly","Ori","  5h 36.6m","  + 09° 45′","★★★☆☆","★★★☆☆","★★★☆☆"," "
"  40  ","Van Goghova vrána","Van Gogh's Crow","And","  1h 58.2m","  + 41° 23′","★★★☆☆","★★★☆☆","★★☆☆☆"," "
